File_Path,File_Name,Artist,Source,Label,Group_ID,Artist_Group,Text_Prompt
data\Midjourney/art\Andy_Warhol_105.jpg,Andy_Warhol_105.jpg,,Midjourney,1,Andy_Warhol_105,Andy Warhol,"Andy Warhol, Art, Hypermodernism, painted truck, red background, silkscreen, realistic color schemes, abstract art, dark crimson, spray painted realism, horror freight truck, pop art silkscreening, dark crimson, light blue, infrared, truck on blue background, meticulous realism, heavy lines, cardboard"
data\StarryAI/art\Edgar_Degas_328.png,Edgar_Degas_328.png,,StarryAI,1,Edgar_Degas_328,Edgar Degas,"Edgar Degas, Art, Girl sitting on stool, stylish costume design, light brown and light blue, spontaneous gestures, high-contrast shading, exaggerated proportions, lady in blue dress, gestural paint handling, 18th century French girl wearing blue shirt and skirt, gestural expressionism, woman with blue dress and hat, foreshortening techniques, brunaille underpainting, pictorial fabrics, illustration, Picassoesque, 1860-1969."
data\REAL\art_5400\Henri_Matisse_139.jpg,Henri_Matisse_139.jpg,Henri Matisse,REAL,0,Henri_Matisse_139,nan,"Henri Matisse, Art, Woman lying/sitting with cup, light yellow, black, cyan, bronze, dark gold, melancholic symbolism, ritualistic masks, intense emotional expression, foreshortening techniques, slumped/draped, sleepycore, allover composition, Biedermeier, iconic works of art history"
data\Dreamstudio/art\Vincent_van_Gogh_207.jpg,Vincent_van_Gogh_207.jpg,,DreamStudio,1,Vincent_van_Gogh_207,Vincent van Gogh,"Vincent van Gogh, Art, Portrait of a man, straw hat, dark azure and yellow, melancholic symbolism, Picassoesque, Pre-Raphaelite, self-portraits, portraiture with emotion, dark yellow and light blue, restrained impressionism, emphasis on facial expression, brushwork mastery, loose paint application, whirring contrivances, geopunk."
data\REAL\art_5400\Diego_Velazquez_31.jpg,Diego_Velazquez_31.jpg,Diego Velazquez,REAL,0,Diego_Velazquez_31,nan,"Diego Velazquez, Art, Man riding a horse, baroque grandiosity, noble subjects, high resolution, transparent layers, historical reproductions, landscapist, Spanish enlightenment, light pink and dark amber, large scale murals, traditional landscapes, layered mesh, hard-edge painting, opulent fabrics"
data\REAL\art_5400\Vincent_van_Gogh_3.jpg,Vincent_van_Gogh_3.jpg,Vincent van Gogh,REAL,0,Vincent_van_Gogh_3,nan,"Vincent van Gogh, Art, Sunflowers in yellow vase, light gold, dark cyan, light orange, vintage imagery, 500-1400 CE, precision, playful yet morose, solarpunk, Whistlerian, expressionist emotiveness, solarization, golden ratio, vanitas, vernal palettes, golden age aesthetics, large-scale murals, kintsugi, pop art brightness, iconic works of art history, neo plasticism, vibrant colors"
data\Dreamstudio/art\Edgar_Degas_385.jpg,Edgar_Degas_385.jpg,,DreamStudio,1,Edgar_Degas_385,Edgar Degas,"Edgar Degas, Art, 1850s, woman sitting, woman in hat, dark brown and purple, fanciful costume design, contrasting lights and darks, energetic movement, ultrafine detail, anthropomorphic animals, Caravaggesque chiaroscuro, woman in white dress, straw hat, dark magenta, light black, colorful costumes, exquisite clothing detail, light brown, chalk, strong contrast, layered fibers, woman in front of clock, charcoal sketches, sculptural costumes, light orange."
data\REAL\art_5400\Francisco_Goya_154.jpg,Francisco_Goya_154.jpg,Francisco Goya,REAL,0,Francisco_Goya_154,nan,"Francisco Goya, Art, Black and white drawing, woman and owl, grotesque satire, dramatic movement, suburban ennui, twisted branches, Spanish enlightenment, lith printing, flying woman, bird overhead, caricatures, etched still lifes, strong facial expressions, ritualistic masks, cranberrycore, poem adaptation, satirical figuration, energetic expressions, humble charm, Rio de Janeiro, Caribbean, 1874, whimsical grotesque, feminist sensibility, gesture, maidcore."
data\DALL-E/art\Peter_Paul_Rubens_132.jpg,Peter_Paul_Rubens_132.jpg,,DALL-E,1,Peter_Paul_Rubens_132,Peter Paul Rubens,"Peter Paul Rubens, Art, Portrait of a king, long hair, furry mohawk, dark black and light amber, romanticism influence, manticore, wavy resin sheets, light magenta and white, elegant, emotive faces, sharp edges, young man, dark white, dark gold, dark purple, light green, formal elegance, princesscore, dark orange, light black, high-contrast shading, black and white, gold, ornate collar, 1605, light purple, dark green, cranberrycore, academic painting, sharp satire."
data\Dreamstudio/art\Francisco_Goya_266.jpg,Francisco_Goya_266.jpg,,DreamStudio,1,Francisco_Goya_266,Francisco Goya,"Francisco Goya, Art, Old men in group setting, sleepycore, romantic views, heavy inking, medicalcore, supple brushstrokes, person feeding animals, dissected books, slumped/draped, suburban ennui, careful framing, confessional, illustrative pen-and-ink sketches, person kneeling at table, grotesque caricatures, uniformly staged images, pulled, scraped, and scratched, romanticized figures, grotesque satire, controlled brushstrokes, medical themes, small brushstrokes, animated exuberance, associated press photo, hispanicore, 'Martha helping herself at the gate of the palace' etching."
